,Test,Category,Answer,text-davinci-003,text-curie-001,text-babbage-001
0,act,reading,C,C,C,C
1,act,reading,D,D,C,C
2,act,reading,C,C,C,C
3,act,reading,D,C,B,B
4,act,reading,D,D,C,B
5,act,reading,B,C,C,C
6,act,reading,A,A,B,B
7,act,reading,C,C,C,C
8,act,reading,A,A,C,B
9,act,reading,B,B,A,C
10,act,reading,B,B,C,B
11,act,reading,D,D,B,C
12,act,reading,C,C,C,B
13,act,reading,A,A,B,B
14,act,reading,D,D,C,C
15,act,reading,B,B,C,B
16,act,reading,D,D,B,B
17,act,reading,A,A,A,C
18,act,reading,A,C,C,C
19,act,reading,B,B,B,C
20,act,reading,D,D,B,C
21,act,reading,A,B,C,C
22,act,reading,B,C,D,C
23,act,reading,C,C,C,C
24,act,reading,A,C,B,C
25,act,reading,C,C,B,C
26,act,reading,D,D,B,C
27,act,reading,D,D,B,C
28,act,reading,A,A,B,B
29,act,reading,B,B,C,C
30,act,reading,D,D,C,C
31,act,reading,A,A,C,C
32,act,reading,B,B,C,C
33,act,reading,C,C,C,C
34,act,reading,C,B,C,C
35,act,reading,D,D,C,C
36,act,reading,A,A,C,C
37,act,reading,B,B,C,C
38,act,reading,D,D,B,B
39,act,reading,A,A,C,C
40,act,reading,B,B,B,C
41,act,reading,B,B,C,B
42,act,reading,D,D,C,C
43,act,reading,D,D,C,C
44,act,reading,A,A,B,C
45,act,reading,C,C,B,C
46,act,reading,D,D,D,C
47,act,reading,C,C,C,C
48,act,reading,A,A,C,C
49,act,reading,B,B,C,C
50,act,reading,B,B,C,C
51,act,reading,D,D,B,C
52,act,reading,D,D,C,C
53,act,reading,A,A,C,C
54,act,reading,C,C,B,C
55,act,reading,D,D,C,C
56,act,reading,C,C,C,C
57,act,english,A,C,C,C
58,act,english,C,C,D,C
59,act,english,D,D,C,A
60,act,english,C,C,C,C
61,act,english,C,C,D,C
62,act,english,B,D,C,C
63,act,english,C,C,C,C
64,act,english,A,C,C,C
65,act,english,D,D,C,C
66,act,english,D,D,A,C
67,act,english,A,C,D,D
68,act,english,D,D,D,C
69,act,english,A,C,C,C
70,act,english,B,A,C,C
71,act,english,C,B,C,B
72,act,english,B,C,D,C
73,act,english,C,B,B,C
74,act,english,B,B,A,C
75,act,english,D,D,D,C
76,act,english,A,B,C,C
77,act,english,B,B,D,C
78,act,english,C,C,D,C
79,act,english,D,D,C,D
80,act,english,B,A,A,C
81,act,english,C,C,D,C
82,act,english,C,C,C,C
83,act,english,D,D,C,C
84,act,english,B,A,A,C
85,act,english,A,A,C,B
86,act,english,A,C,C,C
87,act,english,C,C,A,C
88,act,english,C,C,D,C
89,act,english,C,B,C,C
90,act,english,D,D,D,C
91,act,english,A,D,B,B
92,act,english,C,D,B,C
93,act,english,D,A,C,C
94,act,english,A,D,B,C
95,act,english,B,D,B,C
96,act,english,A,A,C,C
97,act,english,D,A,C,D
98,act,english,A,A,B,C
99,act,english,B,B,D,C
100,act,english,D,A,D,A
101,act,english,C,C,A,C
102,act,english,C,C,B,C
103,act,english,A,D,B,A
104,act,english,D,A,C,C
105,act,english,B,B,A,C
106,act,english,B,B,C,B
107,act,english,C,C,C,C
108,act,english,A,A,C,B
109,act,english,D,A,B,C
110,act,english,B,D,A,C
111,act,english,C,C,D,C
112,act,english,C,D,A,C
113,act,english,A,D,A,C
114,act,english,D,C,A,C
115,act,english,B,A,A,C
116,act,english,A,D,D,C
117,act,english,D,C,B,B
118,act,english,A,D,B,A
119,act,english,D,D,C,C
120,act,english,A,D,C,C
121,act,english,A,A,B,C
122,act,english,A,D,B,B
123,act,english,C,A,C,C
124,act,english,C,D,D,C
125,act,english,B,D,A,C
126,act,english,A,D,A,C
127,act,english,B,D,C,A
128,act,english,B,A,C,C
129,act,english,D,D,C,A
130,act,english,D,C,A,A
131,act,english,B,D,D,B
132,act,math,D,B,C,C
133,act,math,E,B,C,C
134,act,math,A,B,C,C
135,act,math,E,E,E,D
136,act,math,D,B,C,C
137,act,math,C,B,C,C
138,act,math,C,B,C,C
139,act,math,B,B,A,C
140,act,math,A,C,C,C
141,act,math,B,B,D,C
142,act,math,C,E,C,C
143,act,math,B,B,E,C
144,act,math,D,B,B,C
145,act,math,B,B,C,C
146,act,math,E,E,A,C
147,act,math,D,E,C,C
148,act,math,E,E,C,C
